"","Cat","E_coord","N_coord","Вид","КБЕ","РЕ","КРЕ","Праистория","Неолит","Халколит","Бронз","Раннобронзова","Желязна","Ранножелязна","Късножелязна","Елинизъм","Късноантична","СредновековиеXIV","СредновековиеXVII","Ранноср.","Зрялоср.","КСр."
"41",252,25.144917,42.605279,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"42",254,25.164445,42.626081,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1
"43",291,25.141609,42.605502,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",306,25.27638466,42.64869913,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"45",309,25.22054409,42.69732535,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,0
"46",324,25.226407,42.680431,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"47",325,25.22280863,42.68438164,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"48",330,25.249962,42.663484,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1
"49",335,25.484204,42.657758,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",373,25.224017,42.640946,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"51",393,25.20761111,42.65827778,"Селище",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"52",399,25.21141667,42.68961111,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",400,25.23491194,42.65969639,"Укрепление?",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"54",400,25.23491194,42.65969639,"Селище",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"55",667,25.194054,42.636267,"Селищна могила",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",677,25.28286885,42.58827225,"Селище",0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"57",678,25.28435096,42.58233902,"Селище",0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"58",680,25.27623734,42.60655492,"Селище",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"59",681,25.28734627,42.58920823,"Селище",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"60",683,25.29634639,42.61068112,"Крепост?",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"61",683,25.29634639,42.61068112,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
"62",725,25.27644474,42.57657671,"Селище",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"63",734,25.27458785,42.57811146,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"64",757,25.315913,42.574798,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
